artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Blackbear,idfc,245,https://www.last.fm/music/Blackbear/_/idfc,https://www.youtube.com/watch?v=PDeTO26fRVQ,Gloomy,우울한
Black Box Recorder,Child Psychology,247,https://www.last.fm/music/Black+Box+Recorder/_/Child+Psychology,https://www.youtube.com/watch?v=38ystkTMQ2Y,Gloomy,우울한
Mazzy Star,Mary Of Silence,332,https://www.last.fm/music/Mazzy+Star/_/Mary+Of+Silence,https://www.youtube.com/watch?v=j9Nl7FlrMpw,Gloomy,우울한
Pavement,Grounded,255,https://www.last.fm/music/Pavement/_/Grounded,https://www.youtube.com/watch?v=VPW4UW8lDZI,Gloomy,우울한
Have a Nice Life,Who Would Leave Their Son Out in the Sun?,329,https://www.last.fm/music/Have+a+Nice+Life/_/Who+Would+Leave+Their+Son+Out+in+the+Sun%3F,https://www.youtube.com/watch?v=2ZE9xvmFzyk,Gloomy,우울한
Twenty One Pilots,Bandito,0,https://www.last.fm/music/Twenty+One+Pilots/_/Bandito,https://www.youtube.com/watch?v=VQHTROo0S8E,Gloomy,우울한
Marilyn Manson,Cryptorchid,164,https://www.last.fm/music/Marilyn+Manson/_/Cryptorchid,https://www.youtube.com/watch?v=Jj_vCNevsfY,Gloomy,우울한
Aphex Twin,Father,57,https://www.last.fm/music/Aphex+Twin/_/Father,https://www.youtube.com/watch?v=SQf3MDLb4I8,Gloomy,우울한
Nujabes,A Day by Atmosphere Supreme,239,https://www.last.fm/music/Nujabes/_/A+Day+by+Atmosphere+Supreme,https://www.youtube.com/watch?v=NlQGtLo4T6M,Gloomy,우울한
Korn,Kill You,303,https://www.last.fm/music/Korn/_/Kill+You,https://www.youtube.com/watch?v=FHxys8pM_G4,Gloomy,우울한
David Bowie,The Secret Life of Arabia,227,https://www.last.fm/music/David+Bowie/_/The+Secret+Life+of+Arabia,https://www.youtube.com/watch?v=M0Ieq6XYaZY,Gloomy,우울한
Banks,Change,256,https://www.last.fm/music/Banks/_/Change,https://www.youtube.com/watch?v=F0b8KA1drwI,Gloomy,우울한
Julian Plenti,Games for Days,237,https://www.last.fm/music/Julian+Plenti/_/Games+for+Days,https://www.youtube.com/watch?v=O1aoW6nPUrc,Gloomy,우울한
The Kills,Ticket Man,0,https://www.last.fm/music/The+Kills/_/Ticket+Man,https://www.youtube.com/watch?v=3DaOz-Chnhg,Gloomy,우울한
Cocteau Twins,My Love Paramour,220,https://www.last.fm/music/Cocteau+Twins/_/My+Love+Paramour,https://www.youtube.com/watch?v=m3rSXAGvCQs,Gloomy,우울한
Cursive,Harold Weathervein,179,https://www.last.fm/music/Cursive/_/Harold+Weathervein,https://www.youtube.com/watch?v=UmVZhTgwIPA,Gloomy,우울한
Tom Waits,Misery Is The River Of The World,267,https://www.last.fm/music/Tom+Waits/_/Misery+Is+The+River+Of+The+World,https://www.youtube.com/watch?v=Oq-84Y1EviE,Gloomy,우울한
$uicideboy$,Clouds as Witnesses,0,https://www.last.fm/music/$uicideboy$/_/Clouds+as+Witnesses,https://www.youtube.com/watch?v=Zi3-P4qwpGo,Gloomy,우울한
Nico,Janitor of Lunacy,290,https://www.last.fm/music/Nico/_/Janitor+of+Lunacy,https://www.youtube.com/watch?v=fgG3EaOCh_c,Gloomy,우울한
Akira Yamaoka,Magdalene,112,https://www.last.fm/music/Akira+Yamaoka/_/Magdalene,https://www.youtube.com/watch?v=Gf56gA1iADs,Gloomy,우울한
Nick Cave & The Bad Seeds,The Carny,364,https://www.last.fm/music/Nick+Cave+&+The+Bad+Seeds/_/The+Carny,https://www.youtube.com/watch?v=Cur4M00sMZQ,Gloomy,우울한
The Books,Don't Even Sing About It,249,https://www.last.fm/music/The+Books/_/Don%27t+Even+Sing+About+It,https://www.youtube.com/watch?v=ScVmW58oBs0,Gloomy,우울한
David Bowie,Outside,244,https://www.last.fm/music/David+Bowie/_/Outside,https://www.youtube.com/watch?v=gHHCPtDBBhc,Gloomy,우울한
David Bowie,The Motel,410,https://www.last.fm/music/David+Bowie/_/The+Motel,https://www.youtube.com/watch?v=mc4bBHLJpz4,Gloomy,우울한
Leonard Cohen,Show Me the Place,248,https://www.last.fm/music/Leonard+Cohen/_/Show+Me+the+Place,https://www.youtube.com/watch?v=WCtoVoE5Mm4,Gloomy,우울한
Onra,I Wanna Go Back,192,https://www.last.fm/music/Onra/_/I+Wanna+Go+Back,https://www.youtube.com/watch?v=L2OxzICze44,Gloomy,우울한
Cocteau Twins,The Hollow Men,303,https://www.last.fm/music/Cocteau+Twins/_/The+Hollow+Men,https://www.youtube.com/watch?v=l7v6b5x7hYU,Gloomy,우울한
Moving Units,Between Us & Them,0,https://www.last.fm/music/Moving+Units/_/Between+Us+&+Them,https://www.youtube.com/watch?v=1QkNaIy0Yl0,Gloomy,우울한
David Bowie,Kingdom Come,225,https://www.last.fm/music/David+Bowie/_/Kingdom+Come,https://www.youtube.com/watch?v=jORXy9OZNOg,Gloomy,우울한
Ryan Adams,Don't Ask for the Water,176,https://www.last.fm/music/Ryan+Adams/_/Don%27t+Ask+for+the+Water,https://www.youtube.com/watch?v=hekcNSyhW9g,Gloomy,우울한
Pink Turns Blue,Walking On Both Sides,223,https://www.last.fm/music/Pink+Turns+Blue/_/Walking+On+Both+Sides,https://www.youtube.com/watch?v=cmkAkXSDwrs,Gloomy,우울한
The Notwist,Alphabet,182,https://www.last.fm/music/The+Notwist/_/Alphabet,https://www.youtube.com/watch?v=SzShH3hEgq8,Gloomy,우울한
New Order,Murder,235,https://www.last.fm/music/New+Order/_/Murder,https://www.youtube.com/watch?v=G5OMiDahZa0,Gloomy,우울한
Little People,Unsaid,228,https://www.last.fm/music/Little+People/_/Unsaid,https://www.youtube.com/watch?v=_UplEVmSlfo,Gloomy,우울한
Radiohead,Like Spinning Plates (Live),232,https://www.last.fm/music/Radiohead/_/Like+Spinning+Plates+(Live),https://www.youtube.com/watch?v=LnIHVvEwbLk,Gloomy,우울한
Blouse,Videotapes,181,https://www.last.fm/music/Blouse/_/Videotapes,https://www.youtube.com/watch?v=GDd_fBGorz4,Gloomy,우울한
Julia Holter,Horns Surrounding Me,286,https://www.last.fm/music/Julia+Holter/_/Horns+Surrounding+Me,https://www.youtube.com/watch?v=T0_LuSW61GI,Gloomy,우울한
Crystal Stilts,Shake the Shackles,217,https://www.last.fm/music/Crystal+Stilts/_/Shake+the+Shackles,https://www.youtube.com/watch?v=2RDktzDTIMU,Gloomy,우울한
Thousand Foot Krutch,Hurt,284,https://www.last.fm/music/Thousand+Foot+Krutch/_/Hurt,https://www.youtube.com/watch?v=RMa-om8EeDI,Gloomy,우울한
Dead Can Dance,In Power We Entrust the Love Advocated,251,https://www.last.fm/music/Dead+Can+Dance/_/In+Power+We+Entrust+the+Love+Advocated,https://www.youtube.com/watch?v=xysE6W_smf8,Gloomy,우울한
Jazz Liberatorz,Slow down,96,https://www.last.fm/music/Jazz+Liberatorz/_/Slow+down,https://www.youtube.com/watch?v=vM6koc-v6OE,Gloomy,우울한
Suicide,Che,290,https://www.last.fm/music/Suicide/_/Che,https://www.youtube.com/watch?v=e6tcI9_KpZU,Gloomy,우울한
Sharon Van Etten,Save Yourself,299,https://www.last.fm/music/Sharon+Van+Etten/_/Save+Yourself,https://www.youtube.com/watch?v=ekM-Pfe6QE8,Gloomy,우울한
Jedi Mind Tricks,Put em in the Grave,197,https://www.last.fm/music/Jedi+Mind+Tricks/_/Put+em+in+the+Grave,https://www.youtube.com/watch?v=d0ArlqaSyXw,Gloomy,우울한
Tricky,Joseph,148,https://www.last.fm/music/Tricky/_/Joseph,https://www.youtube.com/watch?v=EWiWB2sH3A0,Gloomy,우울한
Marilyn Manson,Born Villain,326,https://www.last.fm/music/Marilyn+Manson/_/Born+Villain,https://www.youtube.com/watch?v=06LXBa-MbH0,Gloomy,우울한
The Boy Least Likely To,Sleeping With a Gun Under My Pillow,198,https://www.last.fm/music/The+Boy+Least+Likely+To/_/Sleeping+With+a+Gun+Under+My+Pillow,https://www.youtube.com/watch?v=nW7oJO-gvSI,Gloomy,우울한
R.E.M.,Old Man Kensey,0,https://www.last.fm/music/R.E.M./_/Old+Man+Kensey,https://www.youtube.com/watch?v=slULISFjvCk,Gloomy,우울한
Prefuse 73,Five Minutes Away,200,https://www.last.fm/music/Prefuse+73/_/Five+Minutes+Away,https://www.youtube.com/watch?v=reFoTLbUGDg,Gloomy,우울한
Placebo,Black Market Blood,0,https://www.last.fm/music/Placebo/_/Black+Market+Blood,https://www.youtube.com/watch?v=Vu9qlAF1OYw,Gloomy,우울한
Grandaddy,The Go In The Go-For-It,220,https://www.last.fm/music/Grandaddy/_/The+Go+In+The+Go-For-It,https://www.youtube.com/watch?v=XnbA-BUJQ-A,Gloomy,우울한
Immortal Technique,You Never Know,0,https://www.last.fm/music/Immortal+Technique/_/You+Never+Know,https://www.youtube.com/watch?v=5pqiqrnZE44,Gloomy,우울한
R.E.M.,Good Advices,210,https://www.last.fm/music/R.E.M./_/Good+Advices,https://www.youtube.com/watch?v=Sn3VB897aXw,Gloomy,우울한
Pavement,Camera,225,https://www.last.fm/music/Pavement/_/Camera,https://www.youtube.com/watch?v=ar8xS_PmPkU,Gloomy,우울한
R.E.M.,Auctioneer (Another Engine),164,https://www.last.fm/music/R.E.M./_/Auctioneer+(Another+Engine),https://www.youtube.com/watch?v=UPiIY34ZCQ4,Gloomy,우울한
Dead Can Dance,Advent,319,https://www.last.fm/music/Dead+Can+Dance/_/Advent,https://www.youtube.com/watch?v=LSVntbctBh0,Gloomy,우울한
Nas,Undying Love,0,https://www.last.fm/music/Nas/_/Undying+Love,https://www.youtube.com/watch?v=3dhlboTlFMg,Gloomy,우울한
Sage Francis,Crumble,120,https://www.last.fm/music/Sage+Francis/_/Crumble,https://www.youtube.com/watch?v=KgoyG9qLyG8,Gloomy,우울한
Metaform,Urban Velvet,133,https://www.last.fm/music/Metaform/_/Urban+Velvet,https://www.youtube.com/watch?v=-2mbcnddHDU,Gloomy,우울한
Cold,Same Drug,223,https://www.last.fm/music/Cold/_/Same+Drug,https://www.youtube.com/watch?v=r-21oZNcsTc,Gloomy,우울한
Echo & the Bunnymen,The Disease,143,https://www.last.fm/music/Echo+&+the+Bunnymen/_/The+Disease,https://www.youtube.com/watch?v=a7ifh-I4_P8,Gloomy,우울한
KIKIYAMA,バラック集落,63,https://www.last.fm/music/KIKIYAMA/_/%E3%83%90%E3%83%A9%E3%83%83%E3%82%AF%E9%9B%86%E8%90%BD,https://www.youtube.com/watch?v=DypG0349cUU,Gloomy,우울한
Lisa Gerrard,Elysium,169,https://www.last.fm/music/Lisa+Gerrard/_/Elysium,https://www.youtube.com/watch?v=REpS9H7dn1E,Gloomy,우울한
I Am Kloot,Avenue of Hope,273,https://www.last.fm/music/I+Am+Kloot/_/Avenue+of+Hope,https://www.youtube.com/watch?v=9hZftgET4GI,Gloomy,우울한
Ryan Adams,Burning Photographs,252,https://www.last.fm/music/Ryan+Adams/_/Burning+Photographs,https://www.youtube.com/watch?v=UVS_hK8ATt0,Gloomy,우울한
of Montreal,Montreal,150,https://www.last.fm/music/of+Montreal/_/Montreal,https://www.youtube.com/watch?v=HXOwiQNTZ5o,Gloomy,우울한
Cocteau Twins,Alas Dies Laughing,219,https://www.last.fm/music/Cocteau+Twins/_/Alas+Dies+Laughing,https://www.youtube.com/watch?v=91qkCreIstg,Gloomy,우울한
El-P,Stepfather Factory,251,https://www.last.fm/music/El-P/_/Stepfather+Factory,https://www.youtube.com/watch?v=UyZ0BTWtP0U,Gloomy,우울한
Squarepusher,My Sound,367,https://www.last.fm/music/Squarepusher/_/My+Sound,https://www.youtube.com/watch?v=0fK6vqfdQGA,Gloomy,우울한
Pavement,Raft,227,https://www.last.fm/music/Pavement/_/Raft,https://www.youtube.com/watch?v=lXKw791Vj9I,Gloomy,우울한
Autechre,Bine,282,https://www.last.fm/music/Autechre/_/Bine,https://www.youtube.com/watch?v=6ZRkOhu3KLY,Gloomy,우울한
Travis,Falling Down,257,https://www.last.fm/music/Travis/_/Falling+Down,https://www.youtube.com/watch?v=40s5nDY_PWw,Gloomy,우울한
