artist,music_name,duration,lastfm_url,youtube_url,mood_EN,mood_KOR
Mother Mother,Hayloft,183,https://www.last.fm/music/Mother+Mother/_/Hayloft,https://www.youtube.com/watch?v=wiXvDsHfpdk,Energizing,
Smallpools,Dreaming,246,https://www.last.fm/music/Smallpools/_/Dreaming,https://www.youtube.com/watch?v=e8xni3EcIbc,Energizing,
New Politics,Harlem,162,https://www.last.fm/music/New+Politics/_/Harlem,https://www.youtube.com/watch?v=NVOUTkFkMNU,Energizing,
Anberlin,Godspeed,183,https://www.last.fm/music/Anberlin/_/Godspeed,https://www.youtube.com/watch?v=s-HpHadZGLk,Energizing,
Alex Clare,Up All Night,163,https://www.last.fm/music/Alex+Clare/_/Up+All+Night,https://www.youtube.com/watch?v=mAlU5xqU6fQ,Energizing,
Matt & Kim,Don't Slow Down,188,https://www.last.fm/music/Matt+&+Kim/_/Don%27t+Slow+Down,https://www.youtube.com/watch?v=cb_ER9H77jY,Energizing,
Awolnation,Megalithic Symphony,57,https://www.last.fm/music/Awolnation/_/Megalithic+Symphony,https://www.youtube.com/watch?v=3uyHm6Ne0hA,Energizing,
Chiodos,Expired In Goreville,175,https://www.last.fm/music/Chiodos/_/Expired+In+Goreville,https://www.youtube.com/watch?v=hdHECkzyuW0,Energizing,
Gil Scott-Heron and Jamie xx,Running,218,https://www.last.fm/music/Gil+Scott-Heron+and+Jamie+xx/_/Running,https://www.youtube.com/watch?v=p7gKjo8JJ6g,Energizing,
Wilco,Monday,230,https://www.last.fm/music/Wilco/_/Monday,https://www.youtube.com/watch?v=uwDzIwiTIbM,Energizing,
Matt & Kim,Cinders,106,https://www.last.fm/music/Matt+&+Kim/_/Cinders,https://www.youtube.com/watch?v=eb7FmLHvGos,Energizing,
Eric Church,Two Pink Lines,208,https://www.last.fm/music/Eric+Church/_/Two+Pink+Lines,https://www.youtube.com/watch?v=0M_R3aQdnl0,Energizing,
Stars,Wasted Daylight,222,https://www.last.fm/music/Stars/_/Wasted+Daylight,https://www.youtube.com/watch?v=IAyIRMzhWX0,Energizing,
Cold War Kids,Lost That Easy,204,https://www.last.fm/music/Cold+War+Kids/_/Lost+That+Easy,https://www.youtube.com/watch?v=D4e-nUtrXvE,Energizing,
Chris Malinchak,So Good to Me,252,https://www.last.fm/music/Chris+Malinchak/_/So+Good+to+Me,https://www.youtube.com/watch?v=KrMl32cuC2A,Energizing,
Forever the Sickest Kids,Whoa Oh! (Me vs Everyone),204,https://www.last.fm/music/Forever+the+Sickest+Kids/_/Whoa+Oh%21+(Me+vs+Everyone),https://www.youtube.com/watch?v=NDvkgkxcYU8,Energizing,
Forever the Sickest Kids,What Do You Want From Me,157,https://www.last.fm/music/Forever+the+Sickest+Kids/_/What+Do+You+Want+From+Me,https://www.youtube.com/watch?v=sbCEcX0pzMg,Energizing,
Pinback,Prog,0,https://www.last.fm/music/Pinback/_/Prog,https://www.youtube.com/watch?v=oWccxzr_4a8,Energizing,
Relient K,Devastation and Reform,221,https://www.last.fm/music/Relient+K/_/Devastation+and+Reform,https://www.youtube.com/watch?v=2P6PJ0-3NzE,Energizing,
MAE,Cover Me,273,https://www.last.fm/music/MAE/_/Cover+Me,https://www.youtube.com/watch?v=OhOXlG1g-T4,Energizing,
Toni Basil,Hey Mickey,239,https://www.last.fm/music/Toni+Basil/_/Hey+Mickey,https://www.youtube.com/watch?v=0aqLwHP4y6Q,Energizing,
Chris Cagle,My Love Goes On And On,182,https://www.last.fm/music/Chris+Cagle/_/My+Love+Goes+On+And+On,,Energizing,
Faul,Happy Endings,396,https://www.last.fm/music/Faul/_/Happy+Endings,https://www.youtube.com/watch?v=rc33KU-CEcI,Energizing,
Stereolab,Captain Easychord,333,https://www.last.fm/music/Stereolab/_/Captain+Easychord,https://www.youtube.com/watch?v=9KTP17jwJ48,Energizing,
Yes,Love Will Find a Way,254,https://www.last.fm/music/Yes/_/Love+Will+Find+a+Way,https://www.youtube.com/watch?v=Hrowi4hHz8A,Energizing,
Matt & Kim,It's a Fact (Printed Stained),135,https://www.last.fm/music/Matt+&+Kim/_/It%27s+a+Fact+(Printed+Stained),https://www.youtube.com/watch?v=oK7qqLQ2u64,Energizing,
The High Kings,The Rocky Road to Dublin,196,https://www.last.fm/music/The+High+Kings/_/The+Rocky+Road+to+Dublin,https://www.youtube.com/watch?v=2yRWNCgYQcg,Energizing,
Yanni,Santorini,274,https://www.last.fm/music/Yanni/_/Santorini,https://www.youtube.com/watch?v=MNpmF3Rcwbo,Energizing,
Matt & Kim,Frank,164,https://www.last.fm/music/Matt+&+Kim/_/Frank,https://www.youtube.com/watch?v=4SS8ZaBn2nk,Energizing,
Chico Buarque,Tanto Mar,116,https://www.last.fm/music/Chico+Buarque/_/Tanto+Mar,https://www.youtube.com/watch?v=PZvOUN2dqgM,Energizing,
The Aquabats,Red Sweater,204,https://www.last.fm/music/The+Aquabats/_/Red+Sweater,https://www.youtube.com/watch?v=zPwQYPEgt3E,Energizing,
The Future Sound of London,Stolen Documents,313,https://www.last.fm/music/The+Future+Sound+of+London/_/Stolen+Documents,https://www.youtube.com/watch?v=B8UH0cgEpmQ,Energizing,
Natalie Cole,This Will Be,172,https://www.last.fm/music/Natalie+Cole/_/This+Will+Be,https://www.youtube.com/watch?v=F-LBiZcN5RI,Energizing,
Black Veil Brides,Wretched And Divine,217,https://www.last.fm/music/Black+Veil+Brides/_/Wretched+And+Divine,https://www.youtube.com/watch?v=fHX2uK9Rsng,Energizing,
DIMMI,Promesses,209,https://www.last.fm/music/DIMMI/_/Promesses,https://www.youtube.com/watch?v=BxRWFtJLLwc,Energizing,
Tiny Tim,"Livin' in the Sunlight, Lovin' in the Moonlight",157,"https://www.last.fm/music/Tiny+Tim/_/Livin%27+in+the+Sunlight,+Lovin%27+in+the+Moonlight",https://www.youtube.com/watch?v=26HsSzFX_ok,Energizing,
Plain White T's,What More Do You Want?,144,https://www.last.fm/music/Plain+White+T%27s/_/What+More+Do+You+Want%3F,https://www.youtube.com/watch?v=bWh9fuOQApo,Energizing,
The Rocket Summer,This Is Me,227,https://www.last.fm/music/The+Rocket+Summer/_/This+Is+Me,https://www.youtube.com/watch?v=aJb-1wz6aCQ,Energizing,
Lemon Demon,Knife Fight,257,https://www.last.fm/music/Lemon+Demon/_/Knife+Fight,https://www.youtube.com/watch?v=W_ZBacZUlQI,Energizing,
Smash Mouth,Radio,197,https://www.last.fm/music/Smash+Mouth/_/Radio,https://www.youtube.com/watch?v=ryJsSPP5Cbo,Energizing,
Acceptance,Seeing is Believing,207,https://www.last.fm/music/Acceptance/_/Seeing+is+Believing,https://www.youtube.com/watch?v=7ip_i5Tr4dM,Energizing,
Bronze Radio Return,"Up, On & Over",173,"https://www.last.fm/music/Bronze+Radio+Return/_/Up,+On+&+Over",https://www.youtube.com/watch?v=63zPCyKdtEs,Energizing,
Black Veil Brides,We Don't Belong,216,https://www.last.fm/music/Black+Veil+Brides/_/We+Don%27t+Belong,https://www.youtube.com/watch?v=WRQ_hGJ0muc,Energizing,
Dyme Def,Let It Be,255,https://www.last.fm/music/Dyme+Def/_/Let+It+Be,https://www.youtube.com/watch?v=3SS0Qooilc8,Energizing,
Yes,Every Little Thing,324,https://www.last.fm/music/Yes/_/Every+Little+Thing,https://www.youtube.com/watch?v=MyteedDgscc,Energizing,
Rascal Flatts,Love You Out Loud,189,https://www.last.fm/music/Rascal+Flatts/_/Love+You+Out+Loud,https://www.youtube.com/watch?v=cl_7xA8EqO8,Energizing,
Between the Trees,Words,225,https://www.last.fm/music/Between+the+Trees/_/Words,https://www.youtube.com/watch?v=2Vp2gYjjjk0,Energizing,
Darryl Worley,Nothin' But A Love Thang,183,https://www.last.fm/music/Darryl+Worley/_/Nothin%27+But+A+Love+Thang,https://www.youtube.com/watch?v=E6_Mz4TPTOM,Energizing,
Bloodsimple,Ride With Me,297,https://www.last.fm/music/Bloodsimple/_/Ride+With+Me,https://www.youtube.com/watch?v=3x6vOzlOdBI,Energizing,
Ivoryline,We Both Know,183,https://www.last.fm/music/Ivoryline/_/We+Both+Know,https://www.youtube.com/watch?v=8yCkCTqCL9s,Energizing,
Djavan,Seduzir,215,https://www.last.fm/music/Djavan/_/Seduzir,https://www.youtube.com/watch?v=ncEwnlfiiUo,Energizing,
Kruder & Dorfmeister,All Time High,0,https://www.last.fm/music/Kruder+&+Dorfmeister/_/All+Time+High,,Energizing,
Family Force 5,I Love You To Death,164,https://www.last.fm/music/Family+Force+5/_/I+Love+You+To+Death,https://www.youtube.com/watch?v=MOMNLpAZERU,Energizing,
Al Jarreau,Boogie Down,243,https://www.last.fm/music/Al+Jarreau/_/Boogie+Down,https://www.youtube.com/watch?v=eL8vHOAp9E8,Energizing,
Bent,Exercise 7,257,https://www.last.fm/music/Bent/_/Exercise+7,https://www.youtube.com/watch?v=V8dYmVSdM50,Energizing,
Hinder,2 Sides Of Me,205,https://www.last.fm/music/Hinder/_/2+Sides+Of+Me,https://www.youtube.com/watch?v=0b8tkg7NOeo,Energizing,
The Almost,"Amazing, Because It Is",0,"https://www.last.fm/music/The+Almost/_/Amazing,+Because+It+Is",https://www.youtube.com/watch?v=sNbFtyK34k0,Energizing,
The Sea and Cake,An Echo In,267,https://www.last.fm/music/The+Sea+and+Cake/_/An+Echo+In,https://www.youtube.com/watch?v=czd44xdgMzo,Energizing,
Keith Urban,I'm In,273,https://www.last.fm/music/Keith+Urban/_/I%27m+In,https://www.youtube.com/watch?v=-i6nPPHEg78,Energizing,
Jeff Beck,Sophie,391,https://www.last.fm/music/Jeff+Beck/_/Sophie,https://www.youtube.com/watch?v=HvLobZeY9bk,Energizing,
"¡Forward, Russia!",Seventeen,245,"https://www.last.fm/music/%C2%A1Forward,+Russia%21/_/Seventeen",https://www.youtube.com/watch?v=r4Dk28loe0Q,Energizing,
Working For A Nuclear Free City,Asleep At the Wheel,260,https://www.last.fm/music/Working+For+A+Nuclear+Free+City/_/Asleep+At+the+Wheel,https://www.youtube.com/watch?v=DB5a_3J71iY,Energizing,
Atlas Plug,Truth Be Known,285,https://www.last.fm/music/Atlas+Plug/_/Truth+Be+Known,https://www.youtube.com/watch?v=WXNkfwOqosA,Energizing,
Hot Hot Heat,Le le Low,191,https://www.last.fm/music/Hot+Hot+Heat/_/Le+le+Low,https://www.youtube.com/watch?v=CMuPiLMqMGs,Energizing,
A Man Called Adam,Slam Mix,0,https://www.last.fm/music/A+Man+Called+Adam/_/Slam+Mix,,Energizing,
Entwine,Nothing's Forever,251,https://www.last.fm/music/Entwine/_/Nothing%27s+Forever,https://www.youtube.com/watch?v=fJAsot1yx4A,Energizing,
Sol,2020,224,https://www.last.fm/music/Sol/_/2020,https://www.youtube.com/watch?v=fEl4rhr9PGI,Energizing,
Celtic Woman,Mo Ghile Mear,289,https://www.last.fm/music/Celtic+Woman/_/Mo+Ghile+Mear,https://www.youtube.com/watch?v=47H9CYPbJEA,Energizing,
Keith Anderson,Wrap Around,229,https://www.last.fm/music/Keith+Anderson/_/Wrap+Around,https://www.youtube.com/watch?v=1NBPEfDwx-o,Energizing,
Jean-Michel Jarre,"Equinoxe, Pt. 5",0,"https://www.last.fm/music/Jean-Michel+Jarre/_/Equinoxe,+Pt.+5",https://www.youtube.com/watch?v=gXBuEcue9tE,Energizing,
Sugarland,Fly Away,216,https://www.last.fm/music/Sugarland/_/Fly+Away,https://www.youtube.com/watch?v=A_XXGGIPr5E,Energizing,
Underoath,I've Got Ten Friends and a Crowbar That Says You Ain't Gonna Do Jack,300,https://www.last.fm/music/Underoath/_/I%27ve+Got+Ten+Friends+and+a+Crowbar+That+Says+You+Ain%27t+Gonna+Do+Jack,https://www.youtube.com/watch?v=ky4iGWO419M,Energizing,
Love Is Colder Than Death,Oxeia,179,https://www.last.fm/music/Love+Is+Colder+Than+Death/_/Oxeia,https://www.youtube.com/watch?v=4qCIz1ZlRUI,Energizing,
Arvo Pärt,Arbos,149,https://www.last.fm/music/Arvo+P%C3%A4rt/_/Arbos,https://www.youtube.com/watch?v=BknXh6GAbIg,Energizing,
